Exercise,Trimester,Benefits
Walking,All trimesters,"Improves circulation, reduces stress, supports healthy weight"
Prenatal Yoga,1st–3rd trimester,"Enhances flexibility, reduces anxiety, supports posture"
Pelvic Tilts,2nd–3rd trimester,"Relieves lower back pain, strengthens core muscles"
Side-Lying Leg Lifts,2nd–3rd trimester,"Strengthens hips and thighs, supports pelvic stability"
Cat-Cow Stretch,All trimesters,"Relieves back tension, improves spinal mobility"
Swimming,2nd–3rd trimester,"Low-impact full‑body exercise, reduces swelling, supports joints"
Stationary Cycling,1st–2nd trimester,Boosts cardiovascular health without strain
Kegel Exercises,All trimesters,"Strengthens pelvic floor, helps with labor and postpartum recovery"
Seated Forward Bend (Modified),2nd–3rd trimester,"Improves flexibility, reduces lower back tightness"
Glute Bridges (Modified),1st–2nd trimester,Strengthens glutes and reduces back discomfort
Deep Breathing & Relaxation,All trimesters,"Reduces stress, supports labor breathing techniques"
Prenatal Pilates,1st–2nd trimester,Strengthens core and improves balance
Standing Side Stretch,All trimesters,"Releases rib pressure, improves breathing comfort"
Quadruped Arm & Leg Reach,2nd trimester,Builds stability and supports back muscles
Light Resistance Band Work,1st–2nd trimester,Maintains muscle tone safely
Tailor Sitting (Butterfly Stretch),2nd–3rd trimester,"Opens hips, improves pelvic flexibility"
Heel Slides,1st–2nd trimester,Engages core gently and supports pelvic control
Wall Squats (Short Hold),2nd trimester,Strengthens legs and prepares body for labor
Modified Side Plank,2nd trimester,Strengthens core without abdominal pressure
Prenatal Water Aerobics,3rd trimester,"Reduces swelling, supports joints and body weight"
