symptom,trimester,later_expectation,coping,source
Nausea/Morning sickness,1st,May ease by week 12-16,"Eat small meals, ginger tea, stay hydrated",BetterHealth / NHS
Fatigue,1st,Often improves in 2nd trimester,"Rest, iron-rich diet, hydrate",BetterHealth / Mayo Clinic
Breast tenderness,1st,Often persists throughout pregnancy,Wear supportive bras,BetterHealth
Frequent urination,1st,Can worsen in 3rd trimester due to baby pressure,"Avoid caffeine before bed, lean forward when urinating",NHS
Food aversions,1st,May improve later,"Avoid triggers, eat alternative safe foods",Mayo Clinic
Food cravings,1st-3rd,May continue throughout,Moderation and balanced diet,Mayo Clinic
Mood swings,1st & 3rd,Hormonal adjustments continue,"Rest, support, slow breathing",ACOG
Bloating,1st,May persist,"Light meals, avoid fizzy drinks",BetterHealth
Constipation,1st-3rd,Can worsen as uterus grows,"Fiber-rich foods, water, safe exercise",NHS
Heartburn,2nd-3rd,May worsen late pregnancy,"Small meals, avoid spicy food, sleep propped up",NHS
Back pain,2nd-3rd,May increase with belly growth,"Prenatal yoga, heat pack, proper shoes",ACOG
Round ligament pain,2nd,Temporary and harmless,"Change positions slowly, light stretching",Mayo Clinic
Shortness of breath,3rd,Improves when baby drops near delivery,"Good posture, sleep propped",NHS
Swelling (Edema),3rd,Resolves after delivery,"Elevate legs, avoid long standing",March of Dimes
Varicose veins,2nd-3rd,May reduce postpartum,"Compression socks, leg elevation",ACOG
Hemorrhoids,2nd-3rd,Improves postpartum,"Fiber diet, warm baths, avoid straining",NHS
Anemia,Any,Treatable with iron,"Iron supplements (doctor advised), leafy greens",NHS
Headaches,1st,Often ease later,"Hydration, rest, avoid triggers",BetterHealth
Dizziness,1st-2nd,Improves as blood volume stabilizes,"Rise slowly, hydrate, eat often",Mayo Clinic
Increased vaginal discharge,All,Normal unless foul-smelling,"Use cotton underwear, avoid scented soaps",ACOG
Braxton Hicks contractions,2nd-3rd,Increase near delivery,Hydrate & change activity level,NHS
Leg cramps,2nd-3rd,Common at night,"Stretch calves, hydrate, magnesium (doctor advice)",NHS
Sleep disturbances,3rd,Normal in late pregnancy,"Sleep on left side, pillows for support",BetterHealth
Pelvic pressure,3rd,Increases as baby engages,"Pelvic floor exercises, prenatal support belt",ACOG
